,False,True,accuracy,macro avg,weighted avg
precision,0.8347826086956521,0.1323529411764706,0.5737704918032787,0.48356777493606135,0.7273070311517338
recall,0.6193548387096774,0.32142857142857145,0.5737704918032787,0.4703917050691244,0.5737704918032787
f1-score,0.7111111111111112,0.18749999999999997,0.5737704918032787,0.4493055555555556,0.6309957498482089
support,155.0,28.0,0.5737704918032787,183.0,183.0
