,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,0.38932979106903076,0.06134272643721316,0.016693413257598877,0.000528345990567763,5,auto,1,2,100,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.33052434456928836,0.22752808988764045,0.28959700093720714,0.3392689784442362,0.29672960345959304,0.04413447192996337,282
1,0.5900306701660156,0.025835558390038545,0.03075045347213745,0.00043301606933754584,5,auto,1,2,200,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.3267790262172285,0.21816479400749064,0.31208997188378634,0.33177132146204313,0.2972012783926371,0.0462016506794741,281
2,1.2575321793556213,0.07197708394733096,0.06299972534179688,0.0018714260607137537,5,auto,1,2,400,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.33239700374531833,0.2209737827715356,0.28865979381443296,0.3261480787253983,0.2920446647641713,0.04431106442982877,306
3,0.28500843048095703,0.01213924475537935,0.017499566078186035,0.0004994872788539521,5,auto,1,5,100,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.33146067415730335,0.22846441947565543,0.29053420805998126,0.3402061855670103,0.29766637181498756,0.04413464793182352,278
4,0.558749794960022,0.013717911035385612,0.03175032138824463,0.0008292399117320448,5,auto,1,5,200,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.3211610486891386,0.21816479400749064,0.29990627928772257,0.33552014995313967,0.29368806798437286,0.04540682441727888,295
5,1.1482678651809692,0.017899673294642766,0.06501656770706177,0.0021214041536924116,5,auto,1,5,400,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",0.3398876404494382,0.2247191011235955,0.29990627928772257,0.3261480787253983,0.29766527489653866,0.04449765340899929,279
6,0.2792494297027588,0.008642604631938874,0.0167505145072937,0.0004330160037009249,5,auto,1,10,100,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.3099250936329588,0.2144194756554307,0.2970946579194002,0.3345829428303655,0.2890055425095388,0.04512051140027619,320
7,0.5565280914306641,0.008177060905313692,0.031258344650268555,0.0008369118206535924,5,auto,1,10,200,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.31647940074906367,0.2209737827715356,0.29896907216494845,0.30927835051546393,0.2864251515502529,0.03829738312614576,327
8,1.2004865407943726,0.026366143314461944,0.06774967908859253,0.0004339798222729747,5,auto,1,10,400,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",0.33707865168539325,0.2200374531835206,0.28959700093720714,0.32427366447985007,0.2927466925714928,0.045430789687048764,302
9,0.2981709837913513,0.00900048023699012,0.019497692584991455,0.0022902505423044632,5,auto,2,2,100,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.31647940074906367,0.22191011235955055,0.2942830365510778,0.3289597000937207,0.2904080624383532,0.0414515622039589,315
10,0.578667938709259,0.030143866554404073,0.031249523162841797,0.00043346363154430284,5,auto,2,2,200,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.33146067415730335,0.2247191011235955,0.29896907216494845,0.3364573570759138,0.29790155113044026,0.04463623948262386,275
11,1.202567994594574,0.04377467880133969,0.062249839305877686,0.00043294809728685484,5,auto,2,2,400,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",0.3342696629213483,0.21629213483146068,0.30740393626991563,0.33270852858481725,0.2976685656518855,0.04817764071073764,277
12,0.2867509126663208,0.011121062698123341,0.017000257968902588,0.00122465614196761,5,auto,2,5,100,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.31086142322097376,0.23127340823970038,0.29990627928772257,0.3280224929709466,0.2925159009298358,0.036750975734266306,303
13,0.5815001130104065,0.01382935523217586,0.03150033950805664,0.0014998913285008781,5,auto,2,5,200,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.3295880149812734,0.2153558052434457,0.29615745079662603,0.3177132146204311,0.28970362141044403,0.044566107763774634,317
14,1.1466304659843445,0.04708994699153851,0.06424975395202637,0.002772529958953663,5,auto,2,5,400,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",0.32771535580524347,0.22565543071161048,0.28959700093720714,0.33177132146204313,0.2936847772290261,0.04258335071493386,297
15,0.30033546686172485,0.017232680672661392,0.017028987407684326,0.0019170442585833695,5,auto,2,10,100,"{'max_depth': 5, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.3202247191011236,0.2144194756554307,0.28959700093720714,0.3233364573570759,0.2868944132627093,0.043871552361340216,326
