,LAENGE_LAENGSTES_WORT,ID
0,12,1148163
1,12,1148163
2,12,1148163
3,12,1148163
4,12,1148163
5,12,1148163
6,12,1148163
7,12,1148163
8,12,1148163
9,12,1148163
10,12,1148163
11,21,7341
12,21,7341
13,21,7341
14,21,7341
15,21,7341
16,21,7341
17,21,7341
18,21,7341
19,21,7341
20,21,7341
21,21,7341
22,10,121700
23,9,8536
24,9,8536
25,9,8536
26,9,8536
27,9,8536
28,9,8536
29,14,1378
30,14,1378
31,14,1378
32,14,1378
33,14,1378
34,14,1378
35,14,1378
36,14,1378
37,14,1378
38,14,1378
39,14,1378
40,14,1378
41,14,1378
42,14,1378
43,14,1378
44,14,1378
45,14,1378
46,14,1378
47,14,1378
48,14,1378
49,14,1378
50,14,1378
51,14,1378
52,14,1378
53,14,1378
54,14,1378
55,14,1378
56,12,55161
57,13,82615
58,13,82615
59,13,82615
60,13,82615
61,13,82615
62,13,82615
63,13,82615
64,16,161002
65,10,17499
66,10,17499
67,10,17499
68,10,17499
69,10,17499
70,10,17499
71,10,17499
72,10,17499
73,10,17499
74,10,17499
75,10,17499
76,10,17499
77,10,17499
78,10,17499
79,10,17499
80,10,17499
81,10,17499
82,10,17499
83,10,17499
84,10,17499
85,10,17499
86,14,639243
87,10,19941
88,10,19941
89,10,19941
90,10,19941
91,10,19941
92,10,19941
93,10,19941
94,10,19941
95,10,19941
96,10,19941
97,10,19941
98,10,19941
99,10,19941
100,10,19941
101,10,19941
102,10,19941
103,10,19941
104,10,19941
105,10,919703
106,15,15396
107,15,15396
108,15,15396
109,15,15396
110,9,3429
111,9,3429
112,9,3429
113,9,3429
114,9,3429
115,9,3429
116,9,3429
117,9,3429
118,9,3429
119,18,9194
120,11,1125750
121,11,1125750
122,11,1125750
123,11,1125750
124,11,1125750
125,11,1125750
126,11,1125750
127,11,1125750
128,11,1125750
129,11,1125750
130,11,1125750
131,11,1125750
132,11,1125750
133,11,1125750
134,11,1125750
135,12,1522114
136,12,1522114
137,12,1522114
138,10,302121
139,10,302121
140,10,302121
141,10,302121
142,10,302121
143,10,302121
144,10,302121
145,10,15710
146,10,15710
147,10,15710
148,10,15710
149,10,15710
150,10,15710
151,10,15710
152,10,15710
153,10,15710
154,10,15710
155,10,15710
156,10,15710
157,10,15710
158,10,15710
159,10,15710
160,10,15710
161,10,15710
162,10,15710
163,10,4334
164,10,4334
165,10,4334
166,10,4334
167,12,104708
168,12,104708
169,12,104708
170,12,104708
171,12,104708
172,10,138406
173,10,138406
174,10,138406
175,10,138406
176,10,138406
177,15,1527901
178,15,1527901
179,15,1527901
180,15,1527901
181,15,1527901
182,11,472164
183,11,472164
184,11,472164
185,11,472164
186,10,64259
187,9,154748
188,9,154748
189,9,154748
190,17,10698
191,17,10698
192,17,10698
193,17,10698
194,17,10698
195,17,10698
196,17,10698
197,17,10698
198,17,10698
199,17,10698
200,17,10698
201,17,10698
202,17,10698
203,17,10698
204,17,10698
205,17,10698
206,17,10698
207,8,116235
208,8,116235
209,8,116235
210,14,99697
211,14,99697
212,15,15822
213,15,15822
214,15,15822
215,15,15822
216,15,15822
217,15,15822
218,15,15822
219,15,15822
220,15,15822
221,15,15822
222,13,60059
223,16,4034
224,16,4034
225,16,4034
226,16,4034
227,14,1042
228,14,1042
229,14,1042
230,14,1042
231,14,1042
232,14,1042
233,14,1042
234,14,1042
235,14,1042
236,14,1042
237,11,7261
238,11,7261
239,11,7261
240,11,7261
241,11,7261
242,11,7261
243,11,7261
244,11,7261
245,11,7261
246,11,7261
247,11,7261
248,11,7261
249,11,7261
250,13,3053
251,13,3053
252,13,3053
253,13,3053
254,13,3053
255,13,3053
256,13,3053
257,13,3053
258,13,3053
259,13,3053
260,13,3053
261,13,3053
262,13,3053
263,13,3053
264,13,60169
265,14,7339
266,14,7339
267,14,7339
268,14,7339
269,14,7339
270,14,7339
271,14,7339
272,14,7339
273,14,7339
274,14,7339
275,14,7339
276,14,7339
277,14,7339
278,14,7339
279,10,103440
280,10,26568
281,10,26568
282,10,26568
283,10,26568
284,10,26568
285,10,26568
286,10,26568
287,10,4295
288,10,4295
289,10,4295
290,10,4295
291,10,4295
292,18,7923
293,18,7923
294,18,7923
295,18,7923
296,18,7923
297,18,7923
298,18,7923
299,18,7923
300,11,4272
301,11,4272
302,11,4272
303,11,4272
304,11,4272
305,11,4272
306,11,4272
307,11,4272
308,11,4272
309,11,4272
310,11,4272
311,11,4272
312,11,4272
313,17,23011
314,17,23011
315,17,23011
316,17,23011
317,17,23011
318,17,23011
319,17,23011
320,17,23011
321,17,23011
322,17,23011
323,12,3172
324,12,3172
325,12,3172
326,12,3172
