LIED_ID,POSITION,DATUM_VON,DATUM_BIS
864,15,1982-11-01,1982-11-07
7320,3,1982-11-08,1982-11-14
18752,16,1982-11-08,1982-11-14
9243,30,1982-11-08,1982-11-14
883,8,1982-11-15,1982-11-21
899,42,1982-11-15,1982-11-21
893,5,1982-12-13,1982-12-19
20865,35,1983-01-03,1983-01-09
20402,26,1983-01-10,1983-01-16
869,28,1983-01-10,1983-01-16
893,20,1983-01-17,1983-01-23
7329,11,1983-02-07,1983-02-13
932,11,1983-02-14,1983-02-20
911,13,1983-02-14,1983-02-20
922,2,1983-03-07,1983-03-13
17510,33,1983-03-07,1983-03-13
15462,47,1983-03-07,1983-03-13
893,34,1983-03-14,1983-03-20
7329,50,1983-03-14,1983-03-20
15804,18,1983-04-04,1983-04-10
7322,27,1983-04-04,1983-04-10
940,29,1983-04-11,1983-04-17
8322,45,1983-04-11,1983-04-17
7326,5,1983-04-18,1983-04-24
158923,30,1986-09-01,1986-09-07
9807,45,1986-09-22,1986-09-28
8705,49,1986-09-22,1986-09-28
9290,41,1986-10-06,1986-10-12
9799,39,1986-12-15,1986-12-21
17539,37,1987-01-12,1987-01-18
1552,3,1987-01-19,1987-01-25
9299,24,1987-01-19,1987-01-25
9299,5,1987-02-09,1987-02-15
1552,14,1987-02-09,1987-02-15
50203,10,1987-02-16,1987-02-22
58718,38,1987-04-06,1987-04-12
9815,31,1987-04-13,1987-04-19
17532,37,1987-05-18,1987-05-24
9289,48,1987-05-18,1987-05-24
8602,23,1987-05-25,1987-05-31
8602,31,1987-06-15,1987-06-21
15881,8,1987-06-22,1987-06-28
8606,42,1987-06-29,1987-07-05
17527,38,1987-07-06,1987-07-12
17532,48,1987-07-06,1987-07-12
15881,6,1987-08-10,1987-08-16
17527,30,1987-08-10,1987-08-16
17527,29,1987-08-24,1987-08-30
8606,48,1987-08-24,1987-08-30
17527,45,1987-09-07,1987-09-13
8606,47,1987-09-07,1987-09-13
155636,48,1987-11-09,1987-11-15
99130,36,1987-12-14,1987-12-20
17541,40,1988-02-08,1988-02-14
1738,15,1988-02-22,1988-02-28
17544,25,1988-02-29,1988-03-06
17541,45,1988-04-11,1988-04-17
50183,5,1988-04-25,1988-05-01
8713,42,1988-06-13,1988-06-19
50183,34,1988-07-18,1988-07-24
158699,43,1988-09-19,1988-09-25
32642,33,1988-10-03,1988-10-09
74867,33,1988-11-14,1988-11-20
10044,42,1988-11-14,1988-11-20
6827,35,1988-12-05,1988-12-11
1843,31,1988-12-19,1988-12-25
1906,35,1989-01-23,1989-01-29
1906,49,1989-02-20,1989-02-26
145762,39,1989-06-05,1989-06-11
145762,42,1989-06-12,1989-06-18
43146,31,1989-08-14,1989-08-20
43146,31,1989-09-11,1989-09-17
22603,24,1989-09-25,1989-10-01
36702,41,1989-11-06,1989-11-12
7200,13,1989-12-04,1989-12-10
48297,30,1989-12-11,1989-12-17
149650,22,1990-01-15,1990-01-21
50487,40,1990-01-29,1990-02-04
2087,18,1990-02-05,1990-02-11
8855,36,1990-02-05,1990-02-11
2087,1,1990-02-12,1990-02-18
158252,29,1990-02-12,1990-02-18
22609,32,1990-02-12,1990-02-18
2087,2,1990-03-12,1990-03-18
2119,41,1990-03-12,1990-03-18
2127,30,1990-04-23,1990-04-29
2127,1,1990-05-28,1990-06-03
2127,1,1990-06-04,1990-06-10
31019,21,1990-06-11,1990-06-17
2128,32,1990-06-18,1990-06-24
2119,37,1990-06-18,1990-06-24
2127,1,1990-06-25,1990-07-01
2127,1,1990-07-09,1990-07-15
17846,49,1990-07-30,1990-08-05
2171,11,1990-09-03,1990-09-09
16165,45,1990-10-15,1990-10-21
246381,32,1991-01-21,1991-01-27
2227,1,1991-02-18,1991-02-24
23454,17,1991-02-18,1991-02-24
99667,30,1991-05-27,1991-06-02
99667,44,1991-06-17,1991-06-23
11230,21,1991-10-07,1991-10-13
48288,34,1991-10-14,1991-10-20
13055,12,1991-11-04,1991-11-10
11230,18,1991-11-11,1991-11-17
13055,31,1991-12-16,1991-12-22
13055,32,1991-12-23,1992-01-05
2368,24,1992-01-20,1992-01-26
254722,44,1992-01-27,1992-02-02
2368,16,1992-02-17,1992-02-23
2368,24,1992-03-09,1992-03-15
37897,49,1992-04-27,1992-05-03
