WORT
a
ä
ab
aber
abzüglich
alle
allen
aller
alles
als
alsdann
alsgleich
am
an
angesichts
anhand
anläßlich
ans
anstatt
anstelle
auch
auf
aufgrund
aufs
aus
außer
außerhalb
b
bar
bei
beim
betreffs
bevor
beziehungsweise
bezüglich
bin
binnen
bis
bist
c
contra
d
da
damit
dank
dann
das
daß
dasjenige
dasjenigen
dass
dasselbe
dein
deine
deinem
deinen
deiner
deines
dem
dementgegen
dementsprechend
demgegenüber
demgemäß
demjenigen
demselben
demzufolge
den
denen
denjenigen
denn
denselben
der
deren
derentwegen
derentwillen
derer
deretwegen
derjenige
derjenigen
derselbe
derselben
derweil
des
desjenigen
desselben
dessen
dessenthalben
dessentwegen
dessentwillen
dessenunerachtet
dessenungeachtet
desungeachtet
dich
die
diejenige
diejenigen
dies
diese
dieselbe
dieselben
diesem
diesen
dieser
dieses
diesseits
dir
du
durch
durchs
e
ebendies
ebendiese
ebendiesem
ebendiesen
ebendieser
ebendieses
ehe
ein
einander
einbegriffen
eine
einem
einen
einer
eines
eingedenk
einschließlich
entgegen
entlang
entsprechend
er
es
etwas
euch
euer
eure
eurem
euren
eurer
eures
exclusive
exklusive
f
falls
fern
fernab
für
fürs
g
gegen
gegens
gegenüber
gehabt
gemäß
gewesen
geworden
gleich
gleichwie
h
hab
habe
haben
habt
halber
hast
hat
hatte
hatten
hattest
hattet
hinsichtlich
hinsichts
hinter
hinterm
hintern
hinters
i
ich
ihm
ihn
ihnen
ihr
ihre
ihrem
ihren
ihrer
ihres
im
in
inbegriffen
inclusive
indem
infolge
inklusive
inmitten
innerhalb
ins
insofern
insoweit
inwärts
inwiefern
inwieweit
irgendein
irgendeine
irgendeinem
irgendeinen
irgendeiner
irgendeines
irgendetwas
irgendwelche
irgendwelchem
irgendwelchen
irgendwelcher
irgendwelches
ist
j
jede
jedem
jeden
jeder
jedermann
jedermanns
jedes
jedwede
jedwedem
jedweden
jedweder
jedwedes
jegliche
jeglichem
jeglichen
jeglicher
jegliches
jemand
jemandem
jemanden
jemandes
jene
jenem
jenen
jener
jenes
jenseits
k
kein
keine
keinem
keinen
keiner
keines
keins
kontra
kraft
l
längsseits
laut
links
m
man
manche
manchem
manchen
mancher
manches
mangels
mein
meine
meinem
meinen
meiner
meines
meins
mich
minus
mir
mit
mitsamt
mitte
mittels
n
nach
nachdem
nächst
nah
nahe
neben
nebst
nicht
nichts
niemand
niemandem
niemanden
niemander
niemandes
o
ö
ob
obgleich
obschon
obwohl
obzwar
oder
ohne
p
plus
q
r
rechts
s
ß
samt
sämtliche
sämtlichen
sämtlicher
sämtliches
seid
sein
seine
seinem
seinen
seiner
seines
seit
seitdem
seitwärts
sich
sie
sind
so
sobald
sofern
solange
solche
solchem
solchen
solcher
solches
sondern
sooft
soviel
soweit
sowenig
sowie
statt
t
trotz
u
ü
über
überm
übern
übers
um
ums
unbeschadet
und
unerachtet
unfern
ungeachtet
uns
unser
unseralle
unsere
unserem
unseren
unserer
unseres
unter
unterhalb
unterm
untern
unters
unweit
v
vermittels
vermöge
via
vom
von
vor
vorbehaltlich
vorm
vors
w
während
wann
war
waren
warst
wart
warum
was
wegen
weil
welche
welchem
welchen
welcher
welches
wem
wen
wenn
wenngleich
wer
werd
werde
werden
werdet
weren
weshalb
wessen
weswegen
wider
wie
wiefern
wieso
wieviel
wieviele
wievielen
wievieler
wievieles
wiewohl
wir
wird
wirst
wo
wobei
wodurch
wofür
wogegen
woher
wohin
womit
wonach
woran
worauf
woraus
worin
worüber
worum
worunter
wovon
wovor
wozu
wurde
wurden
wurdest
wurdet
x
y
z
zeit
zu
zufolge
zugunsten
zuliebe
zum
zumal
zuseiten
zuwider
zuzüglich
zwecks
zwischen
